"m"	"psipo"	"phipo"	"psinb"	"phinb"	"phinb.ind"	"psizip"	"phizip"	"psizinb"	"psizinb.ind"	"phizinb"	"phizinb.ind"
54.73	0.01487844	1	0.03648822	0.9428599	0.5146681	8.100732e-07	1	0.005635279	0.01147487	0.9506712	0.07784984
54.74	0.014867	1	0.0364785	0.942862	0.5146715	8.079998e-07	1	0.005633612	0.01147199	0.9506718	0.07784656
54.75	0.01485558	1	0.03646879	0.942864	0.514675	8.059317e-07	1	0.005631946	0.0114691	0.9506724	0.07784328
54.76	0.01484416	1	0.03645908	0.9428661	0.5146784	8.03869e-07	1	0.005630281	0.01146622	0.950673	0.07784
54.77	0.01483275	1	0.03644938	0.9428681	0.5146818	8.018114e-07	1	0.005628617	0.01146334	0.9506736	0.07783672
54.78	0.01482135	1	0.03643968	0.9428702	0.5146853	7.997592e-07	1	0.005626953	0.01146045	0.9506742	0.07783345
54.79	0.01480996	1	0.03642999	0.9428723	0.5146887	7.977122e-07	1	0.00562529	0.01145757	0.9506748	0.07783017
54.8	0.01479858	1	0.0364203	0.9428743	0.5146921	7.956705e-07	1	0.005623628	0.0114547	0.9506754	0.0778269
54.81	0.0147872	1	0.03641061	0.9428764	0.5146955	7.936339e-07	1	0.005621967	0.01145182	0.950676	0.07782362
54.82	0.01477584	1	0.03640093	0.9428784	0.514699	7.916026e-07	1	0.005620306	0.01144894	0.9506766	0.07782035
54.83	0.01476448	1	0.03639125	0.9428805	0.5147024	7.895765e-07	1	0.005618646	0.01144607	0.9506772	0.07781708
54.84	0.01475314	1	0.03638157	0.9428825	0.5147058	7.875556e-07	1	0.005616987	0.01144319	0.9506779	0.0778138
54.85	0.0147418	1	0.0363719	0.9428846	0.5147092	7.855398e-07	1	0.005615329	0.01144032	0.9506785	0.07781053
54.86	0.01473047	1	0.03636224	0.9428866	0.5147127	7.835292e-07	1	0.005613672	0.01143745	0.9506791	0.07780726
54.87	0.01471915	1	0.03635258	0.9428887	0.5147161	7.815238e-07	1	0.005612015	0.01143458	0.9506797	0.07780399
54.88	0.01470784	1	0.03634292	0.9428907	0.5147195	7.795235e-07	1	0.005610359	0.01143171	0.9506803	0.07780072
54.89	0.01469653	1	0.03633326	0.9428928	0.5147229	7.775283e-07	1	0.005608704	0.01142884	0.9506809	0.07779745
54.9	0.01468524	1	0.03632361	0.9428948	0.5147264	7.755382e-07	1	0.00560705	0.01142597	0.9506815	0.07779418
54.91	0.01467395	1	0.03631397	0.9428969	0.5147298	7.735532e-07	1	0.005605396	0.01142311	0.9506821	0.07779091
54.92	0.01466267	1	0.03630433	0.9428989	0.5147332	7.715733e-07	1	0.005603743	0.01142024	0.9506827	0.07778765
